id,voltage,timestamp
128,4.033936,00:00:09
128,4.033936,00:00:13
128,4.033936,00:00:18
128,4.033936,00:00:23
128,4.033936,00:00:28
128,4.033936,00:00:33
128,4.033936,00:00:38
128,4.033936,00:00:43
128,4.033936,00:00:48
128,4.033936,00:00:53
128,4.033936,00:00:58
128,4.033936,00:01:03
128,4.033936,00:01:08
128,4.033936,00:01:13
128,4.033936,00:01:18
128,4.033936,00:01:23
128,4.033936,00:01:28
128,4.033936,00:01:33
128,4.033936,00:01:38
128,4.033936,00:01:43
128,4.033936,00:01:48
128,4.033936,00:01:53
128,4.033936,00:01:58
128,4.033936,00:02:03
128,4.033936,00:02:08
128,4.033936,00:02:13
128,4.033936,00:02:18
128,4.033936,00:02:23
128,4.033936,00:02:28
128,4.033936,00:02:33
128,4.033936,00:02:38
128,4.033936,00:02:43
128,4.033936,00:02:48
128,4.033936,00:02:53
128,4.033936,00:02:58
128,4.033936,00:03:03
128,4.033936,00:03:08
